UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 01:55 ?        00:00:25 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 01:55 ?        00:00:00 [kthreadd]
root         3     2  0 01:55 ?        00:00:06 [ksoftirqd/0]
root         5     2  0 01:55 ?        00:00:00 [kworker/0:0H]
root         7     2  0 01:55 ?        00:00:00 [rcuc/0]
root         8     2  0 01:55 ?        00:00:00 [rcub/0]
root         9     2  0 01:55 ?        00:00:17 [rcu_preempt]
root        10     2  0 01:55 ?        00:00:03 [rcuop/0]
root        11     2  0 01:55 ?        00:00:02 [rcuop/1]
root        12     2  0 01:55 ?        00:00:03 [rcuop/2]
root        13     2  0 01:55 ?        00:00:02 [rcuop/3]
root        14     2  0 01:55 ?        00:00:02 [rcuop/4]
root        15     2  0 01:55 ?        00:00:01 [rcuop/5]
root        16     2  0 01:55 ?        00:00:00 [rcuop/6]
root        17     2  0 01:55 ?        00:00:00 [rcuop/7]
root        18     2  0 01:55 ?        00:00:00 [rcu_sched]
root        19     2  0 01:55 ?        00:00:00 [rcuos/0]
root        20     2  0 01:55 ?        00:00:00 [rcuos/1]
root        21     2  0 01:55 ?        00:00:00 [rcuos/2]
root        22     2  0 01:55 ?        00:00:00 [rcuos/3]
root        23     2  0 01:55 ?        00:00:00 [rcuos/4]
root        24     2  0 01:55 ?        00:00:00 [rcuos/5]
root        25     2  0 01:55 ?        00:00:00 [rcuos/6]
root        26     2  0 01:55 ?        00:00:00 [rcuos/7]
root        27     2  0 01:55 ?        00:00:00 [rcu_bh]
root        28     2  0 01:55 ?        00:00:00 [rcuob/0]
root        29     2  0 01:55 ?        00:00:00 [rcuob/1]
root        30     2  0 01:55 ?        00:00:00 [rcuob/2]
root        31     2  0 01:55 ?        00:00:00 [rcuob/3]
root        32     2  0 01:55 ?        00:00:00 [rcuob/4]
root        33     2  0 01:55 ?        00:00:00 [rcuob/5]
root        34     2  0 01:55 ?        00:00:00 [rcuob/6]
root        35     2  0 01:55 ?        00:00:00 [rcuob/7]
root        36     2  0 01:55 ?        00:00:00 [migration/0]
root        37     2  0 01:55 ?        00:00:03 [watchdog/0]
root        38     2  0 01:55 ?        00:00:03 [watchdog/1]
root        39     2  0 01:55 ?        00:00:00 [migration/1]
root        40     2  0 01:55 ?        00:00:00 [rcuc/1]
root        41     2  0 01:55 ?        00:00:06 [ksoftirqd/1]
root        43     2  0 01:55 ?        00:00:00 [kworker/1:0H]
root        44     2  0 01:55 ?        00:00:04 [watchdog/2]
root        45     2  0 01:55 ?        00:00:00 [migration/2]
root        46     2  0 01:55 ?        00:00:00 [rcuc/2]
root        47     2  0 01:55 ?        00:00:09 [ksoftirqd/2]
root        49     2  0 01:55 ?        00:00:00 [kworker/2:0H]
root        50     2  0 01:55 ?        00:00:03 [watchdog/3]
root        51     2  0 01:55 ?        00:00:00 [migration/3]
root        52     2  0 01:55 ?        00:00:00 [rcuc/3]
root        53     2  0 01:55 ?        00:00:04 [ksoftirqd/3]
root        55     2  0 01:55 ?        00:00:00 [kworker/3:0H]
root        56     2  0 01:55 ?        00:00:02 [watchdog/4]
root        57     2  0 01:55 ?        00:00:00 [migration/4]
root        58     2  0 01:55 ?        00:00:00 [rcuc/4]
root        59     2  0 01:55 ?        00:00:01 [ksoftirqd/4]
root        61     2  0 01:55 ?        00:00:00 [kworker/4:0H]
root        62     2  0 01:55 ?        00:00:00 [watchdog/5]
root        63     2  0 01:55 ?        00:00:00 [migration/5]
root        64     2  0 01:55 ?        00:00:00 [rcuc/5]
root        65     2  0 01:55 ?        00:00:00 [ksoftirqd/5]
root        67     2  0 01:55 ?        00:00:00 [kworker/5:0H]
root        68     2  0 01:55 ?        00:00:00 [khelper]
root        69     2  0 01:55 ?        00:00:00 [kdevtmpfs]
root        70     2  0 01:55 ?        00:00:00 [netns]
root        71     2  0 01:55 ?        00:00:00 [khungtaskd]
root        72     2  0 01:55 ?        00:00:00 [writeback]
root        73     2  0 01:55 ?        00:00:00 [ksmd]
root        74     2  0 01:55 ?        00:00:00 [khugepaged]
root        75     2  0 01:55 ?        00:00:00 [crypto]
root        76     2  0 01:55 ?        00:00:00 [kintegrityd]
root        77     2  0 01:55 ?        00:00:00 [bioset]
root        78     2  0 01:55 ?        00:00:00 [kblockd]
root        79     2  0 01:55 ?        00:00:00 [ata_sff]
root        80     2  0 01:55 ?        00:00:05 [khubd]
root        82     2  0 01:55 ?        00:00:00 [kswapd0]
root        83     2  0 01:55 ?        00:00:00 [fsnotify_mark]
root        90     2  0 01:55 ?        00:00:00 [kthrotld]
root        91     2  0 01:55 ?        00:00:00 [scsi_eh_0]
root        92     2  0 01:55 ?        00:00:00 [scsi_tmf_0]
root        93     2  0 01:55 ?        00:00:00 [scsi_eh_1]
root        94     2  0 01:55 ?        00:00:00 [scsi_tmf_1]
root        95     2  0 01:55 ?        00:00:00 [scsi_eh_2]
root        96     2  0 01:55 ?        00:00:00 [scsi_tmf_2]
root        97     2  0 01:55 ?        00:00:00 [scsi_eh_3]
root        98     2  0 01:55 ?        00:00:00 [scsi_tmf_3]
root       104     2  0 01:55 ?        00:00:00 [kpsmoused]
root       106     2  0 01:55 ?        00:00:00 [ipv6_addrconf]
root       107     2  0 01:55 ?        00:00:00 [deferwq]
root       154     2  0 01:55 ?        00:00:00 [kauditd]
root       200     2  0 01:55 ?        00:00:05 [kworker/0:2]
root       260     2  0 01:55 ?        00:00:00 [ttm_swap]
root       272     2  0 01:55 ?        00:00:00 [kworker/5:1H]
root       273     2  0 01:55 ?        00:00:00 [kworker/0:1H]
root       274     2  0 01:55 ?        00:00:00 [kworker/1:1H]
root       275     2  0 01:55 ?        00:00:00 [kworker/2:1H]
root       276     2  0 01:55 ?        00:00:00 [kworker/3:1H]
root       277     2  0 01:55 ?        00:00:00 [kworker/4:1H]
root       287     2  0 01:55 ?        00:00:00 [scsi_eh_4]
root       288     2  0 01:55 ?        00:00:00 [scsi_tmf_4]
root       289     2  0 01:55 ?        00:00:01 [scsi_eh_5]
root       290     2  0 01:55 ?        00:00:00 [scsi_tmf_5]
root       291     2  0 01:55 ?        00:00:00 [radeon-crtc]
root       292     2  0 01:55 ?        00:00:00 [radeon-crtc]
root       293     2  0 01:55 ?        00:00:00 [radeon-crtc]
root       294     2  0 01:55 ?        00:00:00 [radeon-crtc]
root       299     2  0 01:55 ?        00:00:00 [bioset]
root       316     2  0 01:56 ?        00:00:00 [kworker/1:2]
root       317     2  0 01:56 ?        00:00:00 [btrfs-worker]
root       318     2  0 01:56 ?        00:00:00 [kworker/u17:0]
root       319     2  0 01:56 ?        00:00:00 [btrfs-worker-hi]
root       320     2  0 01:56 ?        00:00:00 [btrfs-delalloc]
root       321     2  0 01:56 ?        00:00:00 [btrfs-flush_del]
root       322     2  0 01:56 ?        00:00:00 [btrfs-cache]
root       323     2  0 01:56 ?        00:00:00 [btrfs-submit]
root       324     2  0 01:56 ?        00:00:00 [btrfs-fixup]
root       325     2  0 01:56 ?        00:00:00 [btrfs-endio]
root       326     2  0 01:56 ?        00:00:00 [btrfs-endio-met]
root       327     2  0 01:56 ?        00:00:00 [btrfs-endio-met]
root       328     2  0 01:56 ?        00:00:00 [btrfs-endio-rai]
root       329     2  0 01:56 ?        00:00:00 [btrfs-rmw]
root       330     2  0 01:56 ?        00:00:00 [btrfs-endio-wri]
root       331     2  0 01:56 ?        00:00:00 [btrfs-freespace]
root       332     2  0 01:56 ?        00:00:00 [btrfs-delayed-m]
root       333     2  0 01:56 ?        00:00:00 [btrfs-readahead]
root       334     2  0 01:56 ?        00:00:00 [btrfs-qgroup-re]
root       335     2  0 01:56 ?        00:00:00 [btrfs-extent-re]
root       336     2  0 01:56 ?        00:00:00 [btrfs-cleaner]
root       337     2  0 01:56 ?        00:00:00 [btrfs-transacti]
root       421     1  0 01:56 ?        00:00:01 /usr/lib/systemd/systemd-journald
root       432     1  0 01:56 ?        00:00:00 /sbin/lvmetad
root       433     1  0 01:56 ?        00:00:00 /sbin/dmeventd
root       444     1  0 01:56 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       540     1  0 01:56 ?        00:00:03 /usr/sbin/haveged -w 1024 -v 0 -F
root       577     2  0 01:56 ?        00:00:00 [edac-poller]
root       580     2  0 01:56 ?        00:00:00 [hd-audio1]
root       582     2  0 01:56 ?        00:00:00 [hd-audio0]
root       636     2  0 01:56 ?        00:00:00 [xfsalloc]
root       637     2  0 01:56 ?        00:00:00 [xfs_mru_cache]
root       638     2  0 01:56 ?        00:00:00 [xfslogd]
root       639     2  0 01:56 ?        00:00:00 [xfs-data/sda4]
root       640     2  0 01:56 ?        00:00:00 [xfs-conv/sda4]
root       641     2  0 01:56 ?        00:00:00 [xfs-cil/sda4]
root       642     2  0 01:56 ?        00:00:02 [xfsaild/sda4]
root       665     1  0 01:56 ?        00:00:00 /sbin/auditd -n
root       844     1  0 01:56 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --foreground
avahi      845     1  0 01:56 ?        00:00:00 avahi-daemon: running [linux-0nbh.local]
root       848     1  0 01:56 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -f /var/log/wpa_supplicant.log
root       849     1  0 01:56 ?        00:00:00 /usr/sbin/ModemManager
root       850     1  0 01:56 ?        00:00:00 /usr/sbin/irqbalance --foreground
message+   853     1  0 01:56 ?        00:00:00 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
nscd       854     1  0 01:56 ?        00:00:00 /usr/sbin/nscd
root       871     1  0 01:56 ?        00:00:00 /usr/lib/systemd/systemd-logind
root       872     1  0 01:56 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
polkitd    933     1  0 01:56 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root       935     1  0 01:56 ?        00:00:00 /usr/lib/wicked/bin/wickedd-auto4 --systemd --foreground
